stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,2.54,0.85,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.74,0.37,0,0,0,0,0,0,0,0
3Month,0,0.31,0.1,2.81,0,0.31,0,0.42,1.77,1.87,0.83,0.1,1.14,0.1,0.73,0.52,0.52,0.1,0.21,0.42,0,0,0.1,0.21,0.94,0,0.42,8.84,0.73
22Month,0,0,0,0.27,0,0,0.14,0.14,0.27,4.92,0.14,0,0.14,0,0,0.14,0.27,0.14,0,0,0.14,0.14,0,0,0.14,0.68,0,0,0
