stage,Endothelial_cell,Hepatocyte,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,3,0,0
21Day,0,0,0.37,0,0
3Month,0,0.1,0,0,0.1
22Month,0.14,1.37,0,0.14,0
