stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,94,0,0,0,0,51,128,0,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,4.51,3.38,0,0,0,0,0.28,0,0,0,0.28,0,3.66,7.33,0.56,14.66,0,0,0,0.28,64.83,10.71,0,0,0,9.02,0,0,0.56,1.41,0,0,0,0,0
21Day,2.59,1.11,0.37,18.13,1.11,0,0.74,0,0,0,0.37,0.74,0,1.85,2.96,1.11,7.77,1.48,28.49,0,0,0.74,0,43.29,6.29,0,0.74,0,8.88,1.48,0,0.74,0.37,1.48,1.11,0.37,0,0
3Month,0,0.21,0,2.08,0,0,0,0.1,0,0.62,0,4.58,0.52,0.21,0.52,0.21,1.04,0.62,2.5,0.1,0,0.21,0,0.21,0.1,0.1,0.1,0,0.1,0,0.1,2.08,0,0,0,0.21,0,0.21
22Month,0.41,2.87,2.6,4.24,0,0.82,0.27,0,0.82,2.19,1.78,281.09,0.55,1.09,28.29,0.27,0.41,2.73,6.83,0.96,3.96,0.68,0.14,0.41,0,0.55,1.23,0.41,0.14,0.55,0,4.65,0.41,0.41,0,0.14,0.14,0.68
