stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0
3Month,0.21,0.21,0.73,1.77,0.21,0.62,136.26,0.83,0.21,3.12,0.1,0.83,0.52,2.08,0.21,0.31,0.62,0.1,0.1,0.21,0.21,1.56,0.21,0.21,0,0.31,0.1,0.21
22Month,0,0,0,0.41,0,0.14,13.25,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0.14,0,0
