stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
72hpf,0.28,0.28,0,1.41,0.56,0.28,0,0,0.28,0.56,0.56,0.56,0.28,0,54.11,4.23,0.28,0,0.28,0,0
21Day,0,0,0.37,1.85,0.74,0,0.37,0.74,0,0.37,0,1.48,0,0.74,19.61,1.85,0,1.11,0.37,0.37,0.37
3Month,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0
