stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Neural_cell,Oligodendrocyte,Primordial_germ_cell
72hpf,0,0,0,0,0,0.85,1.13,0,0
21Day,0,0,0,0,0,0.37,1.11,0.37,0.37
3Month,0,0.1,0,0,0.1,0,0,0,0
22Month,0.14,0.14,0.82,0.14,0,0,0,0,0
