stage,Cardiomyocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,1,4,0,0,0
72hpf,0,0,0.28,0.28,0.28,0.28,16.07,1.97,0.28,0.28,0
21Day,0.37,0.37,0,0,0,0,7.03,0.37,0.37,0,1.11
