stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,2,0,0,0,0,0,0,0,0,1,3,0,0,1,18,0,1,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,0.28,0.28,0,0,0,0,0.28,2.25,0,1.41,0,0,12.4,9.58,0,2.54,0,0,1.97,0,0,0,0,0
21Day,1.11,0,1.11,0,0.37,0,0,0,0,0,0.74,0,1.85,0,0.37,3.7,4.44,0,1.85,0,0,0.37,0.74,0,0,0,0
3Month,0,0.1,0.73,0,0,0.94,0.21,0.21,0.1,0,0.62,0,0.31,0.1,0.1,0,0.1,0.1,0,0.21,1.14,0.1,0,0.1,0.1,0.62,0.1
22Month,0,0,0.27,0,0,3.28,0,0,0.14,0,0,0.41,0.55,0,0,0,0,0,0,0,0.27,0,0,0,0.14,0,0
