stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,2,0,159,0,1,0,0,0,0,0,1,0,0,0,0,7,1,4,119,0,0,0,0,9,108,1,0,66,0,0,0,0,0,0,0,0
72hpf,5.64,1.13,0,41.15,4.23,3.1,0,0,0,0,0,0,0,0,0.28,0.28,62.57,13.25,0.56,121.19,0,0.85,1.13,0,31.85,27.34,0.28,0,107.95,1.69,0,1.69,0,9.3,0,0,0
21Day,6.29,0,0.37,31.45,3.33,2.59,0,0.74,0,0,0,0,0.74,0.37,1.48,0.74,0.37,22.94,1.11,174.26,0,0,18.5,0,15.54,13.32,0,0.74,49.58,7.77,0,1.85,1.48,5.92,0.37,0,0
3Month,0.21,0.31,0.31,16.64,1.04,0,0.31,0,1.25,2.6,0.1,0,22.05,1.56,0,2.18,0.42,23.09,1.35,45.98,1.46,0,0.73,0,0.31,0.31,0.31,0,1.35,0.83,1.04,0.1,0,0.21,1.98,1.04,0.73
22Month,0.14,2.32,0.14,16.12,0,0,0.55,0,0.55,2.05,1.37,0,22.41,1.23,0.27,2.19,0,3.69,1.37,19.68,0.27,0.41,0.68,0.14,0.14,0.14,0.14,0.14,0.14,0,2.87,0.41,0,0,0.41,0,0.41
