stage,Cardiomyocyte,Endothelial.cell,Epithelial.cell,Erythrocyte..Liver.,Erythroid.progenitor.cell,Goblet.cell,Granulocyte,Hepatocyte,Immune.cell,Immune.progenitor.cell,Intestinal.bulb.cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal.cell,Mesenchymal.cell..caudal.fin.,Nephron.cell,Neurosecretory.cell,Oligodendrocyte,Osteoblast,Pancreatic.cell,Primordial.germ.cell,Retinal.cell,Smooth.muscle.cell,Spermatocyte,T.cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.563696112006446,0,0,0,0,0,0.281848056003223,2.25478444802579,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.369986860264282,2.95989488211426,0.369986860264282,0,0,0,0,0,0,0,0,0,0,0
3Month,0.104017006644673,0.312051019934018,1.04017006644673,0.312051019934018,0.104017006644673,0.104017006644673,75.932414850611,0.832136053157381,1.04017006644673,0.104017006644673,0.728119046512708,0.312051019934018,0.208034013289345,2.18435713953813,0.416068026578691,0.104017006644673,0.416068026578691,0.312051019934018,0,0.208034013289345,0.832136053157381,0.520085033223363,0,0.104017006644673,0.728119046512708,0.104017006644673
22Month,0,0.136649431988133,0.273298863976266,0.136649431988133,0,0,28.1497829895554,1.2298448878932,0.273298863976266,0.136649431988133,0.136649431988133,0,0.136649431988133,1.77644261584573,0,0,0,0,0.136649431988133,0,0,0,0.136649431988133,0,0,0
