stage,Cardiomyocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,1,0,0,0,0,0,2,0,0,0,0,0
72hpf,0,0,0,0,0,4.51,0.28,0.56,0,0.28,0,0.28
21Day,0.37,0,0,0,0,3.7,0,0,0.37,0,0,0
3Month,0,0,0,0,0,0,0,0,0.21,0,0,0
22Month,0,1.23,0.14,0.14,0.27,0,0,0,0.14,0,0.14,0
