stage,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Retinal_cell,Retinal_cone_cell
72hpf,0,0,0.28,1.13,0.56
3Month,0.31,0.31,0,0,0
22Month,0.41,0,0,0,0
