stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,1,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,1,2,0,0,0,1,45,2,0,2,0,0,0,0,0,1,0,0,0
72hpf,4.79,0,0,1.41,9.58,2.54,0,0,0,0,0,0,0,0,0,0.28,0,0.56,9.86,0.28,6.76,0,0.28,0.28,257.05,43.97,1.41,0.28,9.58,0.28,0,13.25,6.76,5.64,0,0,0,0
21Day,5.55,0.37,0.37,7.03,2.96,1.48,0,0.37,0,0.37,0.74,0,0,0.74,0,0,0,0,4.81,0,12.58,0,1.48,0.37,70.67,14.43,3.7,0.74,2.96,4.44,0,2.22,12.95,28.49,1.11,0,0,0.74
3Month,0,0.21,0,7.18,1.14,0,0.1,0,0.1,0.31,1.46,0,0,4.26,1.14,0.21,1.56,1.77,0.94,1.25,1.46,0,0,0.83,5.62,0.62,12.27,0.1,0.21,0.52,6.66,0.42,0.52,0,0.21,0.42,13.21,0.52
22Month,0.14,0.55,0.41,5.33,0.96,0,0.14,0,0,0.14,2.05,1.64,0,15.85,0.68,0.68,2.32,0.14,0.68,1.37,2.32,0.14,0.41,0,4.51,0.14,12.16,0.27,0,0.41,6.83,0.55,32.39,0,0,0,0.27,0.41
