stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,6.48,0.85,0.85,0,0,0.56,5.36,0,0,0,0,0
21Day,0.37,0,0,0.37,0,0,0,2.22,0,0,0,0.37,0.37,0,1.85,0,0,0,2.59,0,1.85,0.37,0,0,3.7,0.37,0.37,0,0,0
3Month,0,0,0.31,0.94,0,0,0.1,8.11,0.52,0,0.31,0.1,0.31,0.52,0.31,0,0.1,0.1,0.1,0,0,0.1,0.21,0,0.21,0,0,0.1,0.31,0.21
22Month,0,0.68,0,0.82,0.14,0.27,0.68,11.07,0.14,0.27,1.78,0.14,0.27,0.55,2.19,0.27,0,0,0.14,0,0,0,0.14,0.27,7.65,0,0,0.14,0,0.14
