stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0.85,0,0,0.28,0.28,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0.37,0.37,0,0,0
3Month,0.42,0,0.42,0.1,0.1,0.21,0.1,0.1,0.1,0,0,5.93,0.1,0.62
22Month,0.14,0,0.68,0,0,0,0,0,0,0,0,0.55,0,0
