stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.85,0,0,0,0,0,0,0,0,0,0.28,5.07,0,0,0,0,0,0,0.56,0,0,0,0,0,0
21Day,0.37,0,0,6.29,0.37,0,0,0,0,0,0,0,0.37,0,6.29,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0
3Month,0.1,0.1,0,8.84,0,0.1,0,2.6,0,0,5.3,0.1,2.18,0.62,1.66,0.31,0.42,0,1.87,0.42,0.42,0,0.52,0.21,0.62,0,0.1,0.42
22Month,0,0,0.27,1.64,0,0,0.14,0.41,0.14,0.14,9.29,0,1.37,0.41,0.27,0,0.68,0.14,0.41,0,0.14,0,0.14,0,0.14,0.14,0,0.14
