stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0
3Month,0.94,0.42,0.42,0,0.21,0.1,0.1,1.04,0,0.31,0,0.21,0,0,0,1.14,0.94,0.52
22Month,0.55,0,0.55,8.34,1.37,0.41,0,0.96,0,0.14,0.41,0.14,0.14,0.14,0,0,0,0.41
