stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0
21Day,0.74,0.37,0,0,0,0,0,0,1.48,0,0,0.37,0.37,0.37,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,4.68,4.89,0,0.62,0.94,0.21,0.62,0.52,0.1,0.52,1.25,2.18,1.25,0.31,0.1,0,0,0.42,0,0.31,0,0,0.1,0.62,0.1,0.21,0.62,1.46
22Month,5.6,4.1,0.14,0.27,0.41,0.68,10.8,0.96,1.78,0.41,0.68,0.14,0.96,0.14,0,0.14,1.23,0.14,0.27,0.41,0.55,0,0.14,0,0.41,0.14,0,0.55
