stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0.37,0,0,0
3Month,0,0.1,0.1,0,0,0.31,0,0,0.52,0,0,0.1,0,0,0,0,0,0,0,0.1,0.1
22Month,0.68,0.41,0.96,0.68,1.37,4.65,0.14,1.09,3.69,0.14,0.55,1.91,0.27,0.27,0,0.14,0.96,0,0.14,0.14,0.82
