stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,11,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.85,0,0,0,0,0,0,0.28,0,0.28,0.28,0,0.56,0,3.66,3.38,0,2.25,0,0,0.85,0,0.28,0,0
21Day,0.74,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0,2.22,0,1.11,0.74,0,1.85,0.37,0,0.37,0.37,0,0,0
3Month,0,1.14,0.31,0.1,0,0.42,0,0,0.31,0,0.21,0,0.83,0.1,0.42,0.1,0,0,0,0,0.1,0.31,0,0,0,0.1,0.42
22Month,0,0.14,0,0,0,0,0,0.14,0,0,0.27,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0
