stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0.28,1.13,0.56,0,0,0,0,0,0,0,0,0,0.28,1.13,0.28,0.28,0,0,0,29.59,3.66,0,0,0.85,0,0,0.28,0.56,0,0,0
21Day,0.37,0,0.74,1.48,0.37,0,0.37,0,0,0,0,0,0,0.37,0,0.74,0,1.11,0,0,0.37,17.39,1.48,0.74,0.37,0.74,0.74,0,0,0,0,0,0
3Month,0,0,4.37,1.46,0,0.31,3.12,0,0.1,0.1,0.52,0,0.31,0.42,0.83,1.35,0.62,0.94,0.21,0,0,2.18,0.21,0.21,0.21,0.21,0,1.77,0.1,0,0,1.04,0.73
22Month,0.14,0.27,1.91,0.96,0,0.14,0.82,0.27,0.82,0,0.96,0.14,0.68,0,0.41,0.14,0.68,0.55,0,0.14,0,2.05,0,0.41,0.14,0,0,3.14,0.27,0,0.14,0,0
