stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0.56,0,0,0,0.85,0,1.41,0,0.85,1.13,0,0,1.97,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0.37,0,7.03,1.11,1.11,0,0.37,0.74,2.96,0.37,0,0.37,1.11,0,0,0.37
3Month,0,0,0.1,0,0,0.21,0.21,0.1,0,0.83,0.1,0,0,0,0,0,0.1,0.42,0,0,0.1,0.42,0
22Month,0,0.14,0,0,0.14,0.27,0.14,0,0.27,0.27,0,0,0,0,0.14,0,0,0.14,0,0,0,0,0
