stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.41,0.56,0.85,0,0,0,0,0,0,0,0.28,2.54,1.41,0.28,0,0,0.28,0.28,0,1.13,0,0,0,0,0
21Day,3.7,0.37,0,5.55,0.74,8.51,0.74,0,0.37,0.37,0,0,0,0,0.74,0.37,5.92,0,0.37,1.11,0.74,0,2.59,0.37,0.74,0.37,0,0
3Month,0,0.31,0.1,3.74,0,0,0,0.31,0.31,0.52,4.47,0,0.42,0,1.98,5.41,1.25,0.21,0.21,0,0,0.1,0.1,0,4.16,0.1,0.21,1.25
22Month,0,0.27,0.27,1.37,0,0,0,0.14,0.55,0.82,0.14,0.14,0,0,0.41,3.28,0.14,0,0,0.14,0,0,0,0,0.55,0,0,0
