stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0
3Month,0.21,0.1,0.1,0,0,7.18,0,0.42,0.1,0,0.1,0,0.21,0.1,0
22Month,0,0,0,0.14,0.14,2.32,0.14,0.14,0,0.14,0,0,0.14,0,0.14
