stage,Cardiomyocyte,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
72hpf,0.28,0,0,0.28,0,0.28,4.23,1.97,0.28,0.28,0
21Day,0,0.37,0,0,0.74,0,2.22,1.11,0,0,0
3Month,0,0,0.42,0,0,0,0,0,0,0,0.1
22Month,0,0,0.27,0,0,0,0,0,0,0,0
