stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0.56,0,0,0,21.14,0.56,0,0.56,0,0,0,0,0,0,0,0
21Day,1.11,0,0,1.48,0.37,1.48,0,1.85,0,0,0,0,0.37,2.22,0.37,1.11,0,4.81,0,0,0.37,32.19,2.59,0,2.59,1.85,0,0.74,1.11,2.59,0,0,0
3Month,0.1,0.1,0.1,1.35,0.1,0,0.1,0,0.1,1.25,0,1.46,0.21,0.73,0.62,0.62,1.04,1.14,0.21,0,0.21,1.56,0,0.52,0,0,8.22,1.46,0,0,0.21,17.99,2.29
22Month,0.14,0.41,0.14,0.68,0,0,0,0,0,2.73,0.27,4.92,0.41,1.09,0.82,0.14,1.78,1.37,0,0.14,0.14,0.14,0,0.27,0.14,0,0.55,1.64,0.41,0,0,0,0.82
