stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,5.07,0,0,0,0,0,0,0.28,0,1.69,0,0.56,0,5.36,2.54,0,0,0.28,0,0,0.56,0,0,0
21Day,0,0.37,1.48,0.37,0,0,0,0,0,0.74,0,1.48,0,0.74,0,1.85,1.11,0,0,0.37,0,0.37,0.74,0,0,1.48
3Month,0,0.62,0,0,0,0.1,0.31,0.83,0.62,0.62,0.52,0.31,0.52,0.1,0,1.77,0,0.1,0,0,0.1,3.43,0,0.1,0.42,4.99
22Month,0,0,0.14,0,0.14,0,0.68,5.33,0.41,0.14,0.41,0,0.14,0.27,0.14,0,0,0,0.14,0.14,0,2.05,0,0,0,0.41
