stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0.37,0,0,0,0,0,0,0.74,0,0.37,0,0,1.85,0,0,0,0,0.37,0,0.37,0,0
3Month,0,0.62,0,0,0,0.31,0.21,0,0.21,0.31,0.21,0.21,0.1,0,0,0.1,0,0,0.1,0,0,0,0.21,0
22Month,0.14,0.55,0,0.14,0.82,2.19,0.14,0.27,0.41,0.41,0.55,0,0,0.27,0.14,0,0.14,0.14,0,0.27,0.14,0,0,0.27
