stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,11.56,0,0.56,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0.28,0.85,0,0.56,0,0,0.56,0,0,0,0,0,0,0
21Day,8.51,0.74,0,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0
3Month,21.12,0.83,0,0,0,0,0.1,0.31,0,2.5,0.62,0,0.42,0.1,0.42,0.52,0.52,0.1,0,0,0.1,0,0,0.1,0,0.52,0.94,1.35,0,1.04,0.52,0.73
22Month,34.85,0.68,0,0,0.14,0.14,0.14,1.37,0.41,11.07,0.68,0.14,1.09,0,0.14,0.27,1.09,0,0.14,0.14,0,0,0.14,0.14,0,0,0.14,5.06,0.14,0,0,0.55
