stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,0,1,1,0,0,4,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0.56,4.23,2.82,0,0.56
21Day,0,0,0,0.37,0,0,0,0,0,0,2.22,1.11,0.37,0
3Month,0,0,0,0,0.21,0,0.1,0,0,0,0,0,0,0
22Month,0.14,0.14,0,0,0.27,0.14,0,0,0,0,0,0,0,0
