stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,7,0,0,0,0,0,0,0,0,0,0,22,2,0,9,0,0,3,4,89,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.85,8.46,0.56,0,0,0,0,0,0,0,0,0.56,1.13,0,1.97,0,0,0,10.15,7.33,0,0,0,1.41,0,0,0,13.25,0.28,0,0,0
21Day,0,0,0,2.22,5.92,1.11,0,0,0,0,0,0,0,0,0,0.37,0,1.11,0,0.74,0,1.85,0.74,0,0,0,0.74,0.37,0,0.37,2.22,1.48,0,0,0
3Month,0,1.46,1.14,40.98,1.66,0,0.21,1.77,4.58,0.31,24.65,5.93,0.31,7.59,5.1,5.62,4.26,5.2,0,1.77,2.39,2.7,0.52,1.66,0.83,0,0.31,3.33,0.1,32.35,0.62,0.31,5.2,560.24,3.33
22Month,0,0.14,0,9.57,0.41,0,0,0,0.14,0,2.87,0,0.14,0.82,0.14,0.55,0,0.82,0.27,0,0.14,0.55,0.14,0.14,0.14,0.14,0.14,0,0,4.92,0.14,0,0,1.91,0
