stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,15,0,1,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.28,0,0,0,0,0,0,0,0.56,0.85,0,0.56,0,0.28,0,1.69,1.13,0,0.85,0,0,0.56,0,0,0,0,0
21Day,1.48,0,0,0.74,0.37,0,0,0,0,0,0,0,1.11,0,3.33,0,0.37,0,1.11,1.48,0,4.07,0,0,0,0.37,0,0,0,0
3Month,0.1,0.21,0.21,2.7,0.1,0.1,0.21,0.42,0.62,0.21,0.73,1.56,2.08,0.31,5.2,1.87,0.31,1.56,0.1,0,0.42,0.42,0,1.14,0,0,0.1,0.21,0.1,0.1
22Month,0,0.14,0,0.27,0,0,0.14,0.41,1.5,0.14,0.96,0,0.41,0.27,4.24,0.14,0,0,0.14,0,0,0.41,0.14,0.14,0.14,0,0,0,0,0.14
