stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0.28,0,0,0,0
21Day,0,0.37,0.37,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0
3Month,0.1,0.94,0,0,1.46,0.1,0.1,0.73,0,1.04,0.1,0.31,0,0.1,0,0.1,0.1,3.64,1.04,0.1
22Month,0,0.27,0,0.14,3.01,0.14,0,0,0.27,0,0.14,0.14,0.41,0,0,0,0,0,0,0
