stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
72hpf,2.82,0.56,0,1.69,0,0.56,0,0,0,0,0,0,0,0,0,1.97,0.85,1.97,0,0,0,0,171.93,3.38,0,1.13,3.1,0,0,1.41,0.28,0,0,0
21Day,0.74,0,0,3.7,0.37,1.11,0,0.37,0,0.37,0.37,0,1.48,0.74,0,0.74,0.37,4.44,0,0,1.11,0,78.07,1.48,0,2.22,1.48,1.11,0,0,0.37,0,0,0
3Month,0.21,0.1,0.21,2.6,0,0,0,0,0.1,0.31,3.85,1.35,0.1,1.04,0.1,0.94,0.52,2.6,1.25,0,0.21,0.52,0.73,0.1,0.1,0.21,0.1,0.1,2.18,0.1,0,0.21,1.98,0.83
22Month,0.14,0.41,0,0.55,0,0,0.14,0.14,0,1.23,15.3,0.68,0.14,1.5,0.14,0.27,0.41,2.19,0,0.96,0.27,0,1.78,0,0.41,0.27,0,0,0.82,0.27,0,0.27,0,0.41
