stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0,0,2.54,1.41,1.97,0,0,0,0,0,0,0.28,0,1.13,6.48,16.91,5.36,0,0.56,0,0,315.39,16.63,0,0.28,0,4.51,0,0.28,2.25,0.56,0.28,0.28,0,0
21Day,0.74,0,0.37,4.07,0.37,2.96,0.74,0,0,0,0.37,0.37,0.74,1.48,0.37,2.59,15.91,9.62,0,0,0,0,99.9,3.33,0,0,0,4.44,4.81,0,0.37,0.74,1.85,0.74,0,0.37
3Month,0,0.21,0,2.18,0.31,0,0,0,0.62,0,2.39,0.62,0.1,8.32,0.52,3.33,44.52,3.12,2.18,0,0.42,0.31,2.7,0.52,0,0,0,0,0.42,3.22,0.1,0,0,0.1,9.05,0.31
22Month,0,0.14,0,1.23,0,0,0,0.55,0.82,0.41,6.29,0.41,0.27,2.32,0,0.41,26.65,9.29,0.68,0.14,0.14,0,2.46,0.41,0.14,0.41,0.27,0,0.27,2.87,0.68,0,0,0,0.14,0.14
