stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,2,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.85,0.28,0.56,0,0,0
21Day,0,0,0,0,0.37,0,0.37,0,0,0.37,1.11,0,0,0
3Month,0,0,0.1,0,0.1,0.1,0,0.1,0,0,0,0.1,0.21,0.21
22Month,0.27,0.27,0,0.14,0.27,0,0,0,0,0,0,0,0,0
