stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,0.28,0.56,0.56,0,0,0,0,0,0.28,0.28,0.28,0,23.39,1.69,0,0.85,0,0.28,0.28,0,0,0,0
21Day,0.37,0,0,1.11,0,0,0,0,0,0,0.74,0,0,0,9.99,0.74,0,0,0.74,0.37,0.37,0.37,0,0,0
3Month,0,0.21,0.42,0.21,0,0.1,0.31,0.62,5.1,0.1,0,0.21,0.62,0.52,0.42,0,0,0,0,7.18,0,0,0.1,7.28,0.1
22Month,0,0,0,0,0,0,0.14,1.23,0,0.41,0,0,0.41,0,0.41,0,0.27,0,0,0.41,0.14,0,0,0,0
