stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0
3Month,0.1,1.87,1.98,11.23,0.21,1.66,0.42,0,3.02,46.08,0.31,534.34,172.25,0.42,8.01,1.87,3.12,121.08,6.24,1.14,0.83,2.29,1.66,0.52,0.21,1.35,0.62,0.31,5.93,1.04,5.93,0.31,0,0,2.7,2.18,14.04
22Month,0.41,1.64,1.09,4.51,0.14,2.32,0.41,0.14,1.37,61.36,0.68,1089.23,34.85,0.96,5.88,0.82,0.82,90.05,5.47,0.14,21.59,2.05,0.14,0.82,0,1.64,1.64,0.41,2.6,0.14,1.37,0.55,0.55,0.14,0.14,0,3.96
