stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,2,0,0
72hpf,0.85,0,0,0,0,0,0,0.56,0.28,0,0,0,0.28,0.28
21Day,0.37,0.37,0,0,0,0,0,0,0,1.48,0.37,0,0,0
3Month,0,0,0.1,0,0,0.1,0.1,0,0.1,0.21,0,0,0,0
22Month,0,0,0.14,0.14,0.14,0.27,0,0,0.14,0,0,0,0,0
