stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,1.69,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0.37,0,11.84,0.74,0,2.22,0,0,0,0.74,0.37,2.59,2.59,1.11,4.07,3.33,4.44,0,0,0.37,0,1.85,1.11,0,0,0,0.37,1.11,0,0,0.37,0,0,0,0.74
3Month,0.1,1.04,0.83,21.12,0,0.31,0.62,3.85,5.72,0,13.42,10.3,1.35,9.36,1.04,6.87,7.28,2.5,0.83,0,2.39,1.35,0.21,0.1,0.94,0,0,0,0.31,0.1,3.95,0,0,2.08,0.1,4.37
22Month,0.14,2.32,0.96,6.01,0,0.14,1.09,1.91,9.7,1.09,24.73,3.01,1.5,9.57,0.68,1.64,6.83,4.51,0.41,0.55,1.37,0,0.27,0,1.23,0.14,0.14,0.55,0,0,2.6,0.55,0.14,0.68,0,3.69
