stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0
72hpf,0.28,0.56,0,1.97,0.56,0,0,0,0,0,0,0,0.28,7.33,0,1.97,0,0,0,0,2.54,1.41,0,0,1.41,0,0,1.13,0,0,0
21Day,0,0.74,0,10.36,0.37,0,0,0,0,0,0.37,0,0.37,9.99,0.74,1.11,0,0,0,0,0.74,1.48,0,0,1.48,0.74,0,1.11,0,0,0
3Month,0,0.42,0,2.6,0,0.1,0.62,0,1.77,0.31,0,1.04,0.21,1.04,0.21,0.21,0.42,0,0.21,0.21,0,0,0.1,0.1,0.1,0.1,0.94,0,0.1,0.73,0.42
22Month,0,0.14,0.27,1.23,0,0.14,0.41,0.27,3.55,0.27,0,0.27,0,0.14,0.14,0.14,0,0.14,0,0,0,0,0,0.14,0,0,0,0.27,0,0,0
