stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0.37,0,6.29,0,0,0,0,0,0,0.37,0,0,1.85,0,0.37,0.37,0.74,0,0,0,7.4,1.11,0.37,0,0,0,0,0,0.37,0.37,0,0,0
3Month,0,0.83,19.76,6.66,0.1,0.94,2.6,2.91,0,10.09,3.12,0.1,290.1,0.42,2.08,2.18,2.91,0.21,0,0.73,9.15,0.21,0.1,0.1,0.42,1.56,0.1,2.18,0.31,0,1.25,1.14,1.77
22Month,0.14,0.27,5.33,0.55,0,0,1.37,0.96,0.27,5.6,0.14,0,88.14,0,0,0.41,0.96,0.14,0.41,0.27,0,0,0,0,0.27,0,0,0.14,0,0,0,0,0.27
