stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0.85,0.85,0,0,0,0.56,0,0,0,0,0,0,0,0
21Day,0.37,0,0,1.11,2.22,0,1.48,0.37,0.37,0,2.22,42.18,29.97,0,0.37,1.11,4.44,1.11,0,0.37,0,4.07,0.37,0,0,0,1.48,1.11,0,0,0,0.37,0,0,23.31
3Month,0.21,0.42,0.31,2.5,0,0.21,0,1.04,7.7,0,5.72,268.16,1.56,2.08,0.21,0.62,2.08,1.87,0.1,0.42,0.73,0.1,0,0,0.21,0,0.31,0.31,0.94,0.73,0,0,0.83,1.14,5.93
22Month,0,0.14,0.14,0.68,0,0,0.14,0.55,0.96,0.14,5.33,84.86,6.29,0.96,0,0.27,3.28,0.82,0,0.41,0,0.14,0,0.14,0,0.27,0,0,0,0.14,0.14,0,0,0,6.83
