stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,0,1,2,5,0,2,19,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0.56,0,0.28,0,3.38,3.38,0,0.56,0,0,0,0,0,0
21Day,0,0,0.74,0,0.37,0,0,0.37,0,0.37,0,0,1.11,0,0.37,0,1.11,2.22,0,0,0.37,0,0.74,0,0,0
3Month,0.1,0.1,0.42,0.1,0.1,0.21,0.1,0.42,0.21,0,0.42,0.21,1.25,0.1,0.31,0.1,0,0,0,0,0,0.94,0,0,0.1,0.1
22Month,0.14,0,0.14,0,0.14,0,0.14,0.55,0,0,0.27,0,0,0,0,0,0,0,0.14,0,0,0,0,0.14,0,0
