stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.28,0,0,0,0.56,0,0.28,0.28,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0.1,1.46,0,0,0,0,0.52,0.1,0,0,1.46,0.21,0,0.94,0,0.42,0,0.42,0,0,0,0.21,0,0,0,0,0,0,0,2.08,0,0,0,0,0,0.73,0
22Month,7.11,59.17,29.93,191.58,2.32,38.95,8.2,0.68,36.35,277.53,3.01,0.14,9107.14,113.15,40.86,300.22,6.97,41.13,172.72,313.88,17.63,200.05,36.9,2.46,15.85,4.65,28.15,42.09,13.8,15.58,15.3,55.48,28.15,8.34,0.27,1.37,7.93,0.96,53.7
