stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,2,79,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,0.28,4.51,0.28,0,0,0,0,0,0.28,0,2.25,1.69,0,0.85,0,0.85,0,0.56,25.37,7.05,0,0,0,0.56,0.28,0.85,1.97,0,0,0,0,0
21Day,0,0,0,2.96,0.74,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,3.33,4.81,0,0,0,0,0.37,1.85,0.74,0,0,0,0,0
3Month,0.1,0.31,0.1,8.74,0.94,0,0.1,0.21,0.31,3.33,1.35,0,1.77,2.18,0.94,1.04,1.14,0.21,0,0.31,0.83,0.31,0,0.42,0,0,0.21,0.73,36.72,0.1,0,0.31,0.42,113.48,0.62
22Month,0,0,0,2.05,0.14,0,0,0,0.27,1.91,0,0,0.14,0,0,0.14,0.27,0,0,0,0.14,0,0,0.14,0.14,1.09,0,0,13.39,0,0.14,0.14,0,0.27,0
