stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.28,0,0,0,0.28,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0.37,0.37,0,0
3Month,0.1,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,1.98,0.1,0,0,0.42,0,0,0,0.21
22Month,0.14,0.14,0.41,0.41,0.41,0.27,0,62.18,0.14,0.82,0,0,0.14,0.55,1.64,0.14,0.14,0.14,0,0.14,0.96,0.27,0,0.14,0
