stage,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte
72hpf,0.56,0.56,4.79,0.28,0.28,0.56
21Day,0,0,1.85,0,0,0.37
