stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,4.79,0,0,0,0.56,0,0,0.28,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0.31,0,0,0,0,0,0.52,0.21,0,0,0,0,0,0,0,0,0.1,0.52,0.1
22Month,0,0.27,0.55,0.96,0.41,3.01,1.09,8.34,0.68,0.96,0,0.14,0.82,1.64,0.82,0,0,44.41,0,0,0,0.55
