stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,6,2,14,0,0,0,0,0,0,0,0,0,0,0,1,4,9,29,1,0,0,6,377,5,0,0,0,0,0,0,0,0
72hpf,3.38,1.69,3.38,1.41,9.02,0,0.56,0,0,0,0,0,1.13,0,2.54,3.95,0.85,23.96,1.13,0.56,0,11.56,56.37,19.45,0.28,0,14.09,0.28,0,1.41,0,0
21Day,8.51,0.37,9.62,2.22,34.78,0,3.7,0,0,0,0.74,0.37,14.06,0,1.11,2.96,4.81,38.48,0,3.33,0,5.92,25.9,17.76,4.07,0.37,8.88,0.37,0.74,0,0,2.59
3Month,0,0,0.73,0.1,0,0.1,0,0,0.42,0,2.29,0.31,0,0.21,0,0.21,0.31,0.21,0,0,0.1,0,0,0,0,0.42,0,0,0,0,0.1,0.21
22Month,0,0.14,0.82,0.14,0,0,0,0.14,0.27,0.14,4.51,0.55,0.27,0,0,0.14,0.96,0,0.14,0,0,0,0,0,0,0.14,0,0,0,0,0,0.14
