stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0.37,0,0,0,4.07,0,0.74,2.22,2.59,0,0,0,3.33,1.11,0,0,0,0,0.74,0,0.37,0.37,0.74,0,0,0,0,0,0,0
3Month,0.1,0.31,2.18,0.1,0,0.1,0,0.42,86.96,0,4.78,45.04,0.62,0.94,0.21,0.31,18.72,0.83,0,0.42,0.21,0.31,0.1,0.1,0.21,0,1.56,0.1,0.83,0.1,0,0.42,0.73,0.52
22Month,0.41,0.27,1.09,0,0,0.27,0.14,0.68,142.8,0.82,19.4,26.37,0.96,1.64,0.14,0.27,18.99,0.96,0.55,0.27,0,0.14,0,0.14,0.14,0.14,0.68,0,0.82,0.27,0.41,0,0,0.41
