stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,19,2,0,42,2,0,0,0,0,0,0,0,0,0,1,0,4,97,0,0,0,1,70,0,0,49,0,0,0,0,0,0,0,0,0
72hpf,5.92,0.28,0,8.74,5.64,0.85,0,0,0,0,0,0,0,0,0,8.74,0,38.61,0,0.28,0,14.66,5.07,0,0.28,79.48,0,0,0.85,0,0.28,2.25,0,0,0
21Day,4.07,0,0,5.55,0,1.48,0.74,0,0,0.37,0.74,0,0.74,0.37,0.74,1.85,0.37,102.49,0,1.48,0,7.77,1.48,0.37,0,69.93,1.11,0,3.7,0.37,1.48,0.37,0,0,0
3Month,0,0.1,0.21,1.56,0,0,0,0.62,0.1,0.94,1.35,0.52,0.1,0.42,0,0.83,0.42,27.67,2.7,1.04,0.21,0.1,0.1,0.21,0,10.61,0.1,2.29,1.46,0,0,0.1,0.21,1.14,0.31
22Month,0,0.27,0,0.27,0,0,0,0,0,0.68,5.19,0.27,0.27,0.27,0,0,0.55,1.37,0,0.14,0,0,0.14,0.14,0,0.96,0.14,1.64,3.83,0,0,0,0,0,0
