stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte
24hpf,0,0,0,0,1,0,0,1,0
72hpf,0.28,0,0,0,0,0.85,0.28,1.13,0
21Day,0,0.37,0,0,0,0,0,0.74,0.37
3Month,0,0,0.1,0.1,0,0.1,0,0,0
