stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0.28,0.28,0,0,13.81,0.56,0,0,0,0,0,0,0,0
21Day,0,0,5.18,0,0.37,0,0,0,0,0,0,0.37,0,0,1.85,0.37,0.37,0,0,11.84,0,0.37,0,0.37,0.37,0.74,0,0,0
3Month,0.1,0,5.93,0,0,0.1,0.1,4.37,0,1.35,0.21,0,0.21,0.1,1.56,0.21,0.31,0,0,0.1,0,0,0,0.1,0.42,0,0.1,0.21,0.31
22Month,0.14,0.68,1.37,0.14,0,0.27,0,4.24,0.14,19.95,0.41,0.68,1.23,0.14,0.14,0.55,1.09,0.55,0.14,0.14,0,0.14,0.14,0.27,0,0,0,0,0.41
