stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,4,18,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,1.97,0.28,0,1.41,0.28,0.56,0,0.28,0,0,0,0,0,0,0,1.97,6.76,0.28,1.97,0.56,0,0,9.3,5.36,0,0,0,2.82,0,0,0.28,1.69,0.28,0,0,0
21Day,0.37,0.37,1.11,11.47,0.37,0.37,0,0.37,0,0.74,0,1.11,0,1.11,1.11,0.37,13.69,1.11,2.59,0,0.37,0,3.33,1.48,0,0,0,1.48,2.22,0,0,0.74,0.37,0,0,0.74
3Month,0,0.21,0.42,5.72,0,0,0.21,0,1.25,2.18,0,8.95,1.04,0,8.11,0.31,1.46,1.87,0.94,0.21,1.14,0.52,0.31,0.21,0.42,0.31,0,0.1,0.52,0,2.18,0,0.21,1.04,4.16,0.31
22Month,0.41,0,0.41,1.09,0,0,0.55,0,1.5,2.19,0.68,23.23,0.41,0.27,6.01,0,0.68,2.6,0.55,0.41,0.41,0,0.14,0,0.27,0.14,0.14,0,0,0.14,0.27,0.14,0,0.14,0,0
