stage,Epithelial_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.85,0.56,0,0,0.56,0,0,0,2.54,0,0.28,0,0,0
21Day,3.33,0.37,0,0.37,1.48,1.48,0,0,0,0,0.37,0,0,0,0,0,0,0
3Month,4.06,0.42,0,0.21,0.52,0,0.1,0.1,0,0,0,0,0,2.5,0.1,0.1,3.33,0.21
22Month,0.14,0.68,0.14,0,0,0,0,0,0,0,0,0.14,0,0.27,0,0,0,0
