stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0
72hpf,0,0.28,0,0,0.28,0.56,0,0.28,0,0,0,0,0,0,0,0,0.56,0,0,0.28,0,0,0,0,0.85,1.97,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0.74,0.37,0,0.37,0,0,0
3Month,0,0.21,0.1,1.77,0.1,0,0.1,0,0,0.1,0,0,3.85,0.21,0,1.98,0.31,0.42,1.77,0.21,0.1,0,0.1,0.42,0.21,0,0.21,0,0.1,0.21,11.13,0,0.1,2.91,0.52
22Month,0.14,0,0.14,0.96,0,0,0.14,0,0.55,2.05,0.68,0,23.78,0,0.14,2.46,0,0,0.55,0.27,0,1.37,0.55,0,0.14,0,0.41,0.14,0,0.14,1.37,0,0,0,0.41
