stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,1.13,0.56,0,1.13,0.85,3.38,0.56,0,0,0,0,0,0,1.97,7.61,0.56,23.96,0.56,0.28,34.1,14.09,0,0,6.76,0,0,3.1,0.28,0.28,0.85,0,0
21Day,5.92,0.74,0.74,19.98,0.37,9.99,2.22,1.11,0,2.96,0.37,6.29,4.81,1.85,12.21,2.22,40.7,0.74,3.7,26.27,16.28,0.74,0.74,8.51,6.66,0.37,1.85,0.74,3.33,1.11,0.37,4.07
22Month,0,0.14,0,0.14,0,0,0,0,0.14,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0
