stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,15,27,1,0,1,0,0,0,0,0,1,0,0,0
72hpf,5.36,0.85,0,3.1,0.85,5.36,0,0,0.56,0,0,0,0.28,0,0.56,5.64,0.85,5.36,0.56,0,0,581.45,20.01,0,1.13,10.15,0.28,0,4.79,0.56,0.85,0.56,0,0,0
21Day,2.22,0.37,0,7.77,0.37,5.92,0,0.37,0,0,0.37,0,4.44,0.37,0,4.44,0.74,9.25,0,0.74,0,220.14,5.55,0,4.81,1.11,5.92,0,2.96,0.74,0.74,0.74,0,0,2.22
3Month,0,0,0,1.04,0.21,0,0.1,0.1,0.21,0,1.46,0.62,0,0.52,0,1.66,0.21,0.52,0,0.1,0.21,3.02,0,0.31,0.42,0,0.1,1.77,0,0,0,0,0.1,0.31,1.46
22Month,0,0,0.14,0.96,0,0,0.14,0.14,0.68,0.27,8.61,0.55,0.14,0.55,0.14,0.14,0.41,0.96,0.27,0,0,3.55,0,0,0.68,0,0,0.68,0,0,0,0,0,0,0.27
