stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,1.41,0.28,1.69,0,0.28,2.54,0.56,0,0.85,0
21Day,0.37,0.37,0,0.74,0.37,0,0,0,0.74,0.37,1.11,0,0,0.37,0.74,0,0.37,0
3Month,0,0,0,0.21,0,0.31,0.1,0.1,0,0,0,0.21,0,0,0,0.1,0,0.94
22Month,0,0.14,0.27,0,0,0.27,0,0,0,0.14,0,0,0,0,0,0,0,0
