stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,7,7,0,0,0,0,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.85,0,1.97,0.28,0.28,0,0,0,0.56,0,0,0,0,0,0.28,6.76,0.56,7.05,0,0.28,0,10.71,4.79,0,0,0,5.07,0,0,0,1.13,0,0,0,0,0,0
21Day,0.74,1.11,0.37,9.62,0.37,1.11,0,0.74,0,4.44,0,0,0.74,2.22,0,0.74,4.44,6.29,12.95,0,1.11,0,4.44,2.22,0,0.74,0,4.44,2.22,0,0,0.74,0,0.37,0,0,0,1.48
3Month,0.21,6.35,1.25,36.93,0,0,0.52,0.62,3.02,66.26,0.21,13.31,19.45,2.39,20.7,1.66,8.53,16.43,10.51,1.35,3.54,0.94,1.87,0.42,1.14,0.73,0,0.42,2.08,0.1,3.33,0.52,0,0,0.42,5.72,0.94,10.82
22Month,0.14,9.43,0.96,8.47,0,0,1.37,0.82,0.68,113.42,2.46,12.57,11.34,5.06,13.66,0.27,1.91,23.78,6.56,0,2.87,0,0.55,0.14,0.96,0.27,0.27,0.14,0,0,0.55,1.09,0.55,0,0.14,0.96,0,5.06
