stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,5.36,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,3.33,0,0.37,0.37,0,0
3Month,0,0,0.52,0.1,0,0,0.1,0,0.52,0.52,0,0.1,0,0.1,0.1,0.1,0,0,0,0.21,0,0.1,0.1,0.1
22Month,0,0.14,0.14,0,0.14,0.14,0.27,0.14,9.16,0.68,0.14,0.96,0.14,0.68,0.96,0,0.41,0.14,0,0,0,0,0,0.27
