stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,15,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0
72hpf,13.25,0.56,0,6.48,0.28,0,0,0,0,0,0,0,2.54,0,2.82,0,2.25,0.56,0,0.28,1.69,0,0,0.28,0,0,0,0
21Day,8.51,0,0,1.48,0.37,0,0,0,0.37,0,0,0,0.37,1.11,1.85,0.37,4.07,1.11,0,5.18,0,0.37,0,0,0.37,0,0,0.37
3Month,0.1,0.1,0,0.83,0,0.1,0.1,0.1,0.94,0.31,0.62,0.1,2.08,0.42,2.39,0,0,0,0,1.04,0,0.1,0.31,0,0,0.21,0.21,0.31
22Month,0,0.14,0.14,0.14,0,0,0,0.14,1.09,0.27,0,0,0,1.91,0.14,0,0,0,0.14,0.68,0,0,0.55,0.14,0,0,0,0
