stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,0,1,0,13,0,0,0
72hpf,0.28,0.28,0.28,0,0,0,0.28,3.66,7.61,0,2.54,0
21Day,0,0,0,0,0,0,0,1.48,1.85,0.74,0.37,0.37
3Month,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0
22Month,0,0,0,1.09,0,0.14,0,0,0,0,0,0
